phenomenon,initials,hanzi,pinyin,2xpinyin,row_mean,row_median
BA_BEI_subj_drop,0.2167,0.57,0.37,0.51,0.41667499999999996,0.44
BA_deletion,0.95,0.95,0.95,0.95,0.95,0.95
BA_duplicate_argument,0.0,0.0,0.0,0.0,0.0,0.0
BA_inversion,0.3667,0.42,0.43,0.64,0.464175,0.425
BA_meiba,0.0,0.0,0.0,0.0,0.0,0.0
BA_negation,0.5533,0.23,0.33,0.12,0.30832499999999996,0.28
BA_no_progressive,0.02,0.07,0.06,0.06,0.052500000000000005,0.06
BA_no_stative_verb,0.9933,0.99,0.97,1.0,0.9883249999999999,0.9916499999999999
BA_suo_adverbial_a,0.1167,0.09,0.09,0.09,0.09667499999999998,0.09
BA_suo_adverbial_b,0.13,0.13,0.13,0.13,0.13,0.13
BA_verb_le_a,0.0,0.0,0.0,0.0,0.0,0.0
BA_verb_le_b,1.0,1.0,1.0,1.0,1.0,1.0
BEI_construction_a,0.4332999999999999,0.52,0.66,0.65,0.565825,0.585
BEI_construction_b,0.4267,0.26,0.4,0.58,0.416675,0.41335
BEI_deletion,0.98,0.98,0.98,0.98,0.98,0.98
BEI_preposition,0.3,0.22,0.41,0.72,0.4125,0.355
PN_numP_a,0.15,0.0,0.0,0.0,0.0375,0.0
PN_numP_b,0.7267,0.39,0.6,0.29,0.501675,0.495
adjective_transitive_dui,0.87,0.92,0.91,0.91,0.9025000000000001,0.91
agent_animacy_adv,0.7067,0.95,0.96,0.55,0.7916749999999999,0.8283499999999999
agent_animacy_passive,0.6933,0.83,0.86,0.81,0.798325,0.8200000000000001
agent_animacy_subj,0.5133,0.57,0.62,0.55,0.5633250000000001,0.56
agent_causative,0.5433,0.35,0.41,0.41,0.42832499999999996,0.41
agent_deletion,0.8067,1.0,1.0,1.0,0.951675,1.0
anaphor_gender_agreement,0.5233,0.51,0.51,0.51,0.513325,0.51
anaphor_number_agreement,0.0,0.0,0.0,0.0,0.0,0.0
causative_shi_ba,0.0266999999999999,0.01,0.01,0.07,0.02917499999999998,0.01834999999999995
classifier_noun_agreement,0.5832999999999999,0.68,0.65,0.6,0.628325,0.625
classifier_noun_agreement_no_gap,0.4633,0.39,0.38,0.42,0.41332499999999994,0.405
control_modal_vs_raising_modal,0.5932999999999999,0.83,0.85,0.76,0.7583249999999999,0.7949999999999999
ellipsis_adj,0.5433,0.45,0.42,0.44,0.463325,0.445
ellipsis_double_object,0.0,0.0,0.0,0.0,0.0,0.0
ellipsis_n_bar_class,0.4432999999999999,0.45,0.47,0.45,0.453325,0.45
existential_there_subject_raising,0.18,0.22,0.16,0.2,0.19,0.19
fci_renhe_dou,1.0,1.0,1.0,1.0,1.0,1.0
fci_renhe_prepP,0.0067,0.0,0.02,0.0,0.006675,0.00335
fci_renhe_ruguo,0.0,0.0,0.0,0.0,0.0,0.0
fci_renhe_subj,0.0,0.0,0.0,0.0,0.0,0.0
fci_renhe_suoyou,0.0,1.0,1.0,1.0,0.75,1.0
intransitive_double_obj,0.0,0.0,0.0,0.0,0.0,0.0
intransitive_no_obj,0.4767,0.47,0.44,0.48,0.466675,0.47335
left_adverbial_b,0.4267,0.39,0.43,0.41,0.41417499999999996,0.41835
left_adverbial_d,0.45,0.45,0.45,0.42,0.4425,0.45
left_adverbial_e,0.2633,0.61,0.58,0.62,0.518325,0.595
left_adverbial_negation,0.7167,0.57,0.64,0.26,0.546675,0.605
left_dou,0.8067,0.74,0.64,0.55,0.684175,0.69
modal_raising_hui,0.4467,0.42,0.63,0.56,0.514175,0.50335
modal_raising_topicalization,0.6333,0.49,0.49,0.62,0.558325,0.5549999999999999
nominal_definite_men,0.07,0.07,0.06,0.06,0.065,0.065
nominal_modal_insertion,0.4533,0.4,0.28,0.61,0.435825,0.42665
noun_adjective_shi,1.0,1.0,1.0,1.0,1.0,1.0
npi_renhe_A_not_A_question,0.0,0.0,0.0,0.0,0.0,0.0
npi_renhe_conditional,1.0,1.0,1.0,1.0,1.0,1.0
npi_renhe_neg_scope_locP,0.64,0.71,0.55,0.39,0.5725,0.595
npi_renhe_neg_scope_subj,0.93,0.78,0.8,0.78,0.8225,0.79
npi_renhe_wh_question_obj,1.0,1.0,1.0,1.0,1.0,1.0
npi_renhe_wh_question_subj,0.22,0.22,0.25,0.4,0.27249999999999996,0.235
passive_agent_deletion_long_left,0.6433,0.9,1.0,0.86,0.8508249999999999,0.88
passive_agent_deletion_long_right_b,0.7232999999999999,0.88,0.88,0.88,0.8408249999999999,0.88
passive_agent_deletion_short,0.7633,0.99,0.99,0.97,0.9283249999999998,0.98
passive_body_part,0.65,0.54,0.69,0.63,0.6275,0.64
passive_intransitive,0.58,0.61,0.62,0.62,0.6075,0.615
passive_no_adj,0.5467,0.53,0.5,0.56,0.5341750000000001,0.53835
passive_suo,0.76,0.95,0.94,0.97,0.905,0.945
plural_cardinal_men_a,0.0366999999999999,0.05,0.04,0.02,0.03667499999999997,0.038349999999999954
plural_cardinal_men_b,0.0533,0.05,0.05,0.05,0.050824999999999995,0.05
preposition_deletion,0.9767,0.98,0.98,0.98,0.979175,0.98
preposition_insertion,0.9567,0.98,0.96,0.96,0.964175,0.96
principle_A_c_command,0.0,0.0,0.0,0.0,0.0,0.0
principle_A_c_command_number,0.0,0.01,0.0,0.0,0.0025,0.0
principle_A_domain,0.0,0.0,0.0,0.0,0.0,0.0
principle_A_domain_number,1.0,0.99,0.99,1.0,0.995,0.995
question_A_not_A,0.1133,0.03,0.02,0.02,0.04582499999999999,0.025
question_A_not_A_daodi_a,0.4567,0.43,0.41,0.47,0.441675,0.44335
question_A_not_A_daodi_b,0.4133,0.45,0.4,0.54,0.45082500000000003,0.43165
question_A_not_A_indirect,0.0,0.0,0.0,0.0,0.0,0.0
question_V_not_VP_1,0.0,0.0,0.0,0.0,0.0,0.0
question_V_not_VP_2,0.2433,0.55,0.49,0.31,0.39832500000000004,0.4
question_daodi_nandao_1,0.95,0.99,1.0,0.99,0.9824999999999999,0.99
question_daodi_nandao_2,0.0633,0.01,0.0,0.17,0.060825000000000004,0.036649999999999995
question_daodi_nandao_A_not_A_intran,0.0533,0.0,0.0,0.04,0.023325,0.02
question_daodi_nandao_A_not_A_tran,0.0733,0.01,0.0,0.02,0.025825,0.015
question_daodi_negation,0.1632999999999999,0.44,0.32,0.66,0.395825,0.38
question_nandao_negation,0.4,0.27,0.32,0.31,0.325,0.315
question_nandao_raising_1_a,0.5967,0.99,0.74,0.38,0.6766749999999999,0.66835
question_nandao_raising_1_b,0.8133,0.91,0.81,0.56,0.773325,0.81165
question_nandao_raising_2,0.8933,0.62,0.62,0.6,0.6833250000000001,0.62
question_nandao_raising_3,0.83,0.45,0.5,0.62,0.6,0.56
question_nandao_scope_1,0.7767000000000001,0.39,0.4,0.53,0.5241750000000001,0.465
question_nandao_scope_2,0.7033,0.27,0.43,0.63,0.508325,0.53
question_particle_daodi_choice_intran,0.7232999999999999,1.0,1.0,0.99,0.9283250000000001,0.995
question_particle_daodi_choice_tran,0.5067,1.0,1.0,1.0,0.876675,1.0
question_particle_nandao,0.88,0.98,0.99,0.75,0.8999999999999999,0.9299999999999999
relative_operator_intepretation,1.0,1.0,1.0,1.0,1.0,1.0
relative_operator_who,0.9333,0.99,0.98,0.98,0.9708249999999999,0.98
relativization_movement_no_gap,0.0,0.0,0.0,0.0,0.0,0.0
relativization_movement_when_where,0.0533,0.01,0.01,0.01,0.020824999999999996,0.01
renhe_no_episodic_sentences,0.1767,0.01,0.02,0.04,0.061675,0.03
renhe_no_superordinate_negation,0.9933,0.94,1.0,0.98,0.978325,0.98665
renhe_non_factive_verb,1.0,0.74,0.99,1.0,0.9325,0.995
right_yijing_a,0.9,0.81,0.82,0.91,0.86,0.86
right_yijing_b,0.66,0.5,0.73,0.57,0.615,0.615
singular_PN_but_plural_pron,0.07,0.11,0.03,0.0,0.0525,0.05
superlative_quantifiers_1,0.3767,0.97,0.84,0.64,0.706675,0.74
superlative_quantifiers_2,1.0,1.0,1.0,1.0,1.0,1.0
topicalization_OSV,0.5832999999999999,0.26,0.59,0.58,0.503325,0.58165
topicalization_OSV_mei,0.5533,0.58,0.33,0.6,0.515825,0.56665
topicalization_SOV_mei,0.6267,0.61,0.66,0.53,0.6066750000000001,0.61835
verb_negation_particle,0.4432999999999999,0.11,0.06,0.0,0.153325,0.08499999999999999
verb_phrase_left_adverbial,0.4567,0.58,0.37,0.67,0.5191749999999999,0.51835
verb_phrase_left_negation,0.6333,0.21,0.38,0.13,0.338325,0.295
ya_insertion,0.5233,0.46,0.51,0.7,0.548325,0.51665
you_quantifier_adj,0.5,0.36,0.38,0.51,0.4375,0.44
you_yige,0.0,0.0,0.0,0.0,0.0,0.0
